             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          28141437     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141436     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141435     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141434     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141433     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141432     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141431     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141430     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141429     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141428     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141427     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141426     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141425     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141424     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141423     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141422     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141421     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141420     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141419     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141418     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141417     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141416     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141415     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141414     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141413     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141412     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141411     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141410     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141409     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141408     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141407     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141406     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141405     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141404     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141403     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141402     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141401     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141400     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141398     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141397     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141396     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141395     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141394     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141393     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141392     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141391     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
