3.162277660168379134e-02,6.782329983125268136e-02,7.071067811865475172e-02,6.928203230275509217e-02,5.744562646538028949e-02,4.795831523312719252e-02,5.196152422706631913e-02,5.656854249492380277e-02,7.937253933193771926e-02,4.358898943540673310e-02
9.763638577128760931e-02,7.741657386773942440e-02,1.371130920080208815e-01,1.295780490104755933e-01,1.280624847486569740e-01,1.019048210769553653e-01,1.231169259325315957e-01,1.264812223583124673e-01,1.262428371559898566e-01,1.707797211756316713e-01
8.306623862918074974e-02,9.055385138137417300e-02,3.605551275463989014e-02,2.828427124746190138e-02,4.123105625617660280e-02,4.582575694955839940e-02,4.898979485566355707e-02,4.690415759823429731e-02,6.708203932499369471e-02,8.660254037844386521e-02
4.000000000000000083e-02,9.273618495495704328e-02,8.000000000000000167e-02,1.029563014098699991e-01,9.486832980505137403e-02,4.472135954999579416e-02,4.123105625617660280e-02,5.196152422706631913e-02,4.898979485566355707e-02,1.029563014098699991e-01
7.483314773547883325e-02,6.928203230275509217e-02,9.643650760992954207e-02,1.081665382639196843e-01,1.135781669160054741e-01,4.000000000000000083e-02,4.898979485566355707e-02,6.782329983125268136e-02,4.898979485566355707e-02,9.746794344808963617e-02
4.123105625617660280e-02,4.358898943540673310e-02,4.690415759823429731e-02,4.000000000000000083e-02,1.212435565298214113e-01,5.385164807134503601e-02,5.916079783099616185e-02,6.244997998398398031e-02,8.888194417315589679e-02,4.358898943540673310e-02
1.095445115010332260e-01,4.898979485566355707e-02,4.472135954999579416e-02,4.000000000000000083e-02,3.464101615137754608e-02,8.000000000000000167e-02,1.058300524425836164e-01,1.095445115010332260e-01,1.637070554374490117e-01,1.264911064067351654e-01
4.828427124746190180e-02,6.162277660168379023e-02,5.398345637668168495e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.012899020449195969e-01,1.363640716277487730e-01,1.399343253405324616e-01,1.201841438784530258e-01,2.266809132033083818e-01
1.427667245862504486e-01,1.274456264653802684e-01,1.334145351321016915e-01,1.371053321340077735e-01,1.363324958071079895e-01,9.591663046625438505e-02,1.039052213572196626e-01,8.714776642118865491e-02,7.899200485311239084e-02,1.215550721518205840e-01
3.605551275463989014e-02,8.544003745317531318e-02,1.058300524425836164e-01,1.072380529476360811e-01,9.433981132056604157e-02,6.244997998398398031e-02,5.000000000000000278e-02,5.656854249492380277e-02,6.082762530298219811e-02,1.009950493836207774e-01
3.872983346207416883e-02,4.242640687119285381e-02,3.872983346207416883e-02,3.316624790355399838e-02,4.242640687119285381e-02,4.472135954999579416e-02,5.000000000000000278e-02,5.099019513592784741e-02,5.744562646538028949e-02,4.123105625617660280e-02
